	牌相	圖相	牌義	解牌-工作	解牌-感情
  聖杯-3	正向	三人舉杯慶祝	有值得慶祝的理由，有好消息將前來	工作上，專案即將成功	感情上是歡樂的
  聖杯-4	負向	焦燥的，忽視眼前的美好，遲滯的		工作上專案遲滯不前	感情上對現狀不滿
  聖杯-5	負向	哀悼眼前倒下的3聖杯	哀悼	失去工作機會，或者財務的損失或背叛	代表戀情的失去或沒放下
  聖杯-6	正向	重聚，故人		工作滿足於現況，但不表示有大成長	感情現在還不錯，但不表示有大轉變
  聖杯-7	中性	多種選擇，從心去選擇		工作上從心選擇，避免受他人壓力或衝動性選擇	感情上要從心選擇
  聖杯-8	正向	離開去尋找答案		工作可能是離開現有環境	感情需要有新的視野
  聖杯-9	極正向	幸運，得到讚賞		工作得到成就，獲得新工作	感情得到想要的結果
  聖杯-10	極正向	歡樂的家庭		工作是個歡樂的環境	戀情會走向婚姻，家庭
  錢幣-國王牌		坐在王位，拿著金幣的國王	商業/財務智慧	建立財務的穩定性	對財務可信賴的另一半
  錢幣-皇后牌		坐在花園后位，拿著金幣的皇后	注意財務安全，能從工作獲取價值	精通財務和工作	長期承諾，支持另一半事業
  錢幣-騎士牌		拿著金幣，騎馬向前的騎士	建立事業是他們的任務，可以順利前行	從某人提供的機會，職涯平穩向前	對方會建立財務穩定的家庭
  錢幣-伺從牌		拿著金幣，站在山上的侍者	喜歡戶外，具企業家特質	會有好機會，增加你銀行財富的機會	新階段的來臨
  錢幣-1	正向	新的專案		工作上：一個新專案帶來你的財富	感情上：先專注於帶來財富的專案
  錢幣-2	中性	抉擇-在財務方面有2條路待選擇		工作上：面對2個工作需要選擇	感情上：會遇到和財務相關的選擇
  錢幣-3	正向	辛苦工作將得到回報		工作上：辛苦工作得到獎賞或昇遷	感情上：學習如何維持穩定關係
  錢幣-4	正向	緊抱金幣	穩固的財務，過份死守金錢	工作上：財務穩健	感情上：財務穩固的感情
  錢幣-5	負向	無家可歸的人		工作上：遭遇挫折與失敗，可能處於失業狀態	感情上：分手或關係破裂
  錢幣-6	正向	財務邁向穩定		工作上：有份收入穩定的工作	感情將走向穩定
  錢幣-7	正向	堅守現有的工作並存錢		工作上：堅守現有工作，不要辭職	感情： 制定財富長期目標
  錢幣-8	正向	專注於修復金幣		工作上運用專業能力，獲取報酬	感情上家庭財務穩固
  錢幣-9	極正向	享受努力得來的金錢		工作上享受努力得來的金錢	感情上財務穩固，足以生育養育小孩
  錢幣-10	極正向	享受落下的金錢		工作獲得豐富財富，得到讚賞	感情上建立物質豐富的家庭
  寶劍-國王牌		坐在王位，緊拿寶劍的國王	智慧，精明，學院派，分析規劃型	規劃分析型，不是風險愛好者，學院派	需要和自己具相同智慧的人
  寶劍-皇后牌		端坐后位，拿著寶劍，手腕綁著線的皇后	智慧，理智，邏輯性	使用智慧，評估情勢	智慧的另一半
  寶劍-騎士牌		揮著寶劍騎馬的騎士	思想轉換，動態，高能源	想法一直在轉換	可能衝太快，所以不會有承諾
  寶劍-伺從牌		拿著寶劍，站在山頂的侍者	充滿想法，腦筋動得快	會有好點子-寫下來，規劃	遠離童話小說-平衡吸引力法則和實際行動
  寶劍-1	正向	新的想法		工作上：新想法會帶你走向成功	感情上：針對你想要的，會更清楚
  寶劍-2	中性	抉擇-對眼前的選擇，帶著恐懼，難以決定		工作上：面對重大決定	感情上：先退回想想
  寶劍-3	負向	三劍穿心	將面對分離與哀傷	工作上：將面對難過與失望	感情上：將面臨失望
  寶劍-4	負向	三劍指向	體力透支，需要休息	工作上：煩惱太多，壓力太大	感情上：給你自己一點時間沈思
  寶劍-5	負向	不光榮的勝利		工作上：充滿敵意的環境	感情上：彼此算計的戀情
  寶劍-6	正向	從混亂中航向平靜		工作將由混亂轉平靜	感情將會由黑暗走向光明
  寶劍-7	中性	小心周圍		工作上可能會遇到不老實的上司/同件/顧客，小心不要立刻相信別人	感情小心第三者造成的干擾，或單身者小心不誠實的另一半
  寶劍-8	中性	矇著眼睛，被劍陣圍住		工作上陷在困境	感情上感覺無法往前走，被困住
  寶劍-9	負向	批判自己，負面情緒		工作上給自己太大壓力，好好睡一覺	感情上過份擔心一段戀情，好好睡一覺，看夢中給你什麼啟示
  寶劍-10	中性	跌到谷底，黎明即將到來		工作上已經精力竭盡，等待黎明到來	感情上已經精力竭盡，等待黎明到來
  權杖-國王牌		正坐拿著長出葉子的權杖，眼神堅定的國王	樂於行動，挑戰，正直，堅毅地向前	自信，向前衝的戰士	有能力，熱情，行動派的另一半
  權杖-皇后牌		端坐拿著向日葵的皇后	樂於行動，而非只是夢想規劃	有野心的，迎接挑戰	動態的，有熱情，不無聊的另一半
  權杖-騎士牌		拿著權杖騎馬的騎士	有野心，喜歡追求挑戰	方向的改變	喜歡挑戰的另一半
  權杖-伺從牌		看著萌發新芽，背後是金字塔的侍者	火相，浮燥，有活力，戶外	嘗試帶給你更寬廣視野的新事物	新階段，可能有挑戰，但是正向，會擴展你的視野
  權杖-1	正向	充滿能量，熱情，行動力的牌		有新的工作應該接受 現在的工作專案會有大幅度的進展	有新的感情應該接受 現在的感情會有大幅度的進展
  權杖-2	正向	抉擇		如果已經下決定了就去做，它會是好的結果	如果還沒決定，聽從你的直覺去選擇
  權杖-3	正向	果實即將結成，船即將來		工作尋求聯盟	感情將會進展
  權杖-4	正向	慶祝		即將迎來滿足和歡樂	即將迎來滿足和歡樂
  權杖-5	負向	一群狗打架	所有的5代表 改變 和 不穩定	避免介入鬥爭，不要承擔太多責任，小心被扯後腿	兩人想法不同
  權杖-6	正向	勝利成功向前		工作即將成功向前	感情將會順利進展
  權杖-7	中性	堅守陣地		工作上將迎來挑戰，堅守陣地，不要放棄	感情將會遇到挑戰，相信自己，不要放棄
  權杖-8	正向	抵達目的地		工作即將成功抵達目的地	感情將會順利進展
  權杖-9	中性	精力耗盡，困難重重		工作不要執著於失敗，適度放鬆，面對挑戰	感情不要執著於失敗，適度放鬆，面對挑戰
  權杖-10	中性	負擔		尋求外援，不要都攬在自己身上	尋求外援，不要都攬在自己身上
